Product_Type,SKU_ID,Price,Availability,Units_Sold,Revenue,Customer_Segment,Stock_Levels,Shipping_Lead_Time,Order_Quantity,Shipping_Time,Carrier,Shipping_Cost,Supplier_ID,Supplier_Lead_Time,Production_Volume,Mfg_Lead_Time,Mfg_Cost,Inspection_Result,Defect_Rate,Transport_Mode,Route,Logistics_Cost,Gross_Margin_Pct,Revenue_Per_Unit,Daily_Demand,Stock_Cover_Days,Demand_Stock_Ratio,Total_Lead_Time,Cost_Per_Unit,Reorder_Point,Reorder_Gap,Carrying_Cost_Ratio,Supply_Efficiency,Shipping_Cost_Ratio,Future_Sales,Delay_Flag,Inventory_Risk_Class,Cash_Stress_Score
skincare,SKU10,15.7077956819121,11.0,996.0,2330.96580209194,Non-binary,51.0,13.0,80.0,2.0,Carrier C,8.67321121127861,Supplier 5,18.0,830.0,5.0,96.5273527853109,Pass,1.72731392835594,Road,Route B,806.103177702923,-514.52,2.34,33.2,1.5,19.154,23.0,0.809,921.0,-870.0,0.3146,10.247,0.0037,702,0,High,18.61
skincare,SKU11,90.6354599822886,95.0,960.0,6099.94411558145,Female,46.0,23.0,60.0,1.0,Carrier A,4.52394312431666,Supplier 2,28.0,362.0,11.0,27.5923630866636,Pending,0.0211698213729943,Air,Route A,126.723033409407,69.56,6.354,32.0,1.4,20.426,39.0,0.132,1502.0,-1456.0,0.0146,5.934,0.0007,1239,0,High,2.0
haircare,SKU12,71.21338907536,41.0,336.0,2873.74144602144,Unknown,100.0,30.0,85.0,4.0,Carrier A,1.32527401018452,Supplier 4,3.0,563.0,3.0,32.321286213424,Fail,2.16125374755591,Road,Route B,402.96878907377,54.61,8.553,11.2,8.9,3.327,6.0,1.196,85.0,15.0,0.1351,6.547,0.0005,229,1,Low,0.68
skincare,SKU13,16.1603933173799,5.0,249.0,4052.73841623786,Male,80.0,8.0,48.0,9.0,Carrier A,9.53728306110833,Supplier 5,23.0,173.0,10.0,97.8290501101732,Pending,1.63107423007153,Road,Route B,547.241005160968,-505.36,16.276,8.3,9.6,3.074,33.0,2.189,333.0,-253.0,1.9445,3.531,0.0024,159,0,Low,17.86
skincare,SKU14,99.1713286386241,26.0,562.0,8653.5709264698,Non-binary,54.0,29.0,78.0,5.0,Carrier B,2.03977018944933,Supplier 1,25.0,558.0,14.0,5.79143662986298,Pending,0.100682851565093,Air,Route B,929.235289960889,94.16,15.398,18.733,2.9,10.218,39.0,1.651,881.0,-827.0,0.0056,7.063,0.0002,521,0,Medium,1.53
skincare,SKU15,36.9892449286269,94.0,469.0,5442.08678539767,Non-binary,9.0,8.0,69.0,7.0,Carrier B,2.4220397232752,Supplier 1,14.0,580.0,7.0,97.1212817514743,Pass,2.26440576119854,Sea,Route B,127.861800001625,-162.57,11.604,15.633,0.6,46.9,21.0,0.272,398.0,-389.0,0.0504,8.286,0.0004,500,1,High,7.58
skincare,SKU16,7.54717210979127,74.0,280.0,6453.79796817628,Female,2.0,5.0,78.0,1.0,Carrier B,4.1913245857055,Supplier 1,3.0,399.0,21.0,77.10634249785,Pass,1.01256308925804,Air,Route A,865.52577977124,-921.66,23.049,9.333,0.2,93.333,24.0,3.08,273.0,-271.0,0.0729,5.051,0.0006,367,0,High,29.48
cosmetics,SKU17,81.462534369237,82.0,126.0,2629.39643484526,Female,45.0,17.0,85.0,9.0,Carrier C,3.58541895823234,Supplier 1,7.0,453.0,16.0,47.6796803683553,Fail,0.102020754918176,Air,Route C,670.93439079241,41.47,20.868,4.2,10.7,2.739,23.0,5.283,120.0,-75.0,0.209,5.267,0.0014,135,1,Low,2.26
haircare,SKU18,36.4436277704609,23.0,620.0,9364.67350507617,Unknown,10.0,10.0,46.0,8.0,Carrier C,4.3392247141107,Supplier 2,18.0,374.0,17.0,27.1079808548439,Pending,2.23193911072926,Sea,Route A,593.480258720651,25.62,15.104,20.667,0.5,56.364,35.0,0.956,873.0,-863.0,0.012,7.957,0.0005,417,1,High,3.2
skincare,SKU19,51.1238700879647,100.0,187.0,2553.49558499121,Unknown,48.0,11.0,94.0,3.0,Carrier A,4.74263588284187,Supplier 4,20.0,694.0,16.0,82.3733205879902,Fail,3.64645086541702,Road,Route C,477.307631090903,-61.12,13.655,6.233,7.7,3.816,36.0,2.539,274.0,-226.0,0.4135,7.305,0.0019,171,1,Low,5.79
skincare,SKU20,96.3410724399633,22.0,320.0,8128.02769685119,Unknown,27.0,12.0,68.0,6.0,Carrier A,8.87833465092684,Supplier 1,29.0,309.0,6.0,65.6862596084886,Pass,4.23141657353453,Air,Route B,493.871215316205,31.82,25.4,10.667,2.5,11.429,35.0,1.539,453.0,-426.0,0.0575,4.478,0.0011,217,1,Medium,2.93
cosmetics,SKU21,84.8938689849508,60.0,601.0,7087.05269635743,Unknown,69.0,25.0,7.0,6.0,Carrier B,6.03788376921829,Supplier 5,19.0,791.0,4.0,61.7357289541609,Pending,0.0186075676310149,Air,Route C,523.360914720158,27.28,11.792,20.033,3.4,8.586,23.0,0.869,557.0,-488.0,0.0835,98.875,0.0009,618,0,Low,2.38
haircare,SKU22,27.6797808865019,55.0,884.0,2390.80786655617,Unknown,71.0,1.0,63.0,10.0,Carrier A,9.56764892092304,Supplier 4,22.0,780.0,28.0,50.1208396129773,Fail,2.59127547321111,Rail,Route C,205.571995826947,-81.07,2.705,29.467,2.4,12.278,50.0,0.232,1773.0,-1702.0,0.1454,12.188,0.004,1000,1,Medium,7.04
cosmetics,SKU23,4.32434118586416,30.0,391.0,8858.36757101148,Unknown,84.0,5.0,29.0,7.0,Carrier A,2.92485760114555,Supplier 5,11.0,568.0,29.0,98.6099572427038,Pending,1.34229156272273,Rail,Route A,196.329446112412,-2180.35,22.656,13.033,6.4,4.6,40.0,0.501,630.0,-546.0,4.8961,18.933,0.0003,313,1,Low,65.06
haircare,SKU24,4.1563083593111,32.0,209.0,9049.07786093989,Male,4.0,26.0,2.0,8.0,Carrier C,9.74129168928436,Supplier 2,28.0,447.0,3.0,40.3823597029248,Pending,3.69131029262872,Air,Route A,758.724772602938,-871.59,43.297,6.967,0.6,41.8,31.0,3.613,264.0,-260.0,0.1857,149.0,0.0011,156,1,High,28.26
haircare,SKU25,39.6293439850926,73.0,142.0,2174.77705435065,Male,82.0,11.0,52.0,3.0,Carrier C,2.23107368128172,Supplier 4,19.0,934.0,23.0,78.2803831184153,Pending,3.79723121711418,Road,Route B,458.535945739209,-97.53,15.315,4.733,17.3,1.711,42.0,3.207,243.0,-161.0,1.1405,17.623,0.001,142,0,Low,6.78
haircare,SKU26,97.4469466178928,9.0,353.0,3716.49332589403,Male,59.0,16.0,48.0,4.0,Carrier B,6.50754862107855,Supplier 2,26.0,171.0,4.0,15.9722297571817,Pass,2.11931973672492,Rail,Route A,617.866916458377,83.61,10.528,11.767,5.0,5.883,30.0,1.745,428.0,-369.0,0.0274,3.49,0.0018,248,0,Medium,1.42
cosmetics,SKU27,92.557360812402,42.0,352.0,2686.45722357598,Unknown,47.0,9.0,62.0,8.0,Carrier C,7.40675095299807,Supplier 5,25.0,291.0,4.0,10.5282450700421,Fail,2.86466783788337,Sea,Route B,762.459182155683,88.63,7.632,11.733,4.0,7.333,29.0,2.16,413.0,-366.0,0.0152,4.619,0.0028,309,1,Medium,1.66
cosmetics,SKU28,2.39727470559714,12.0,394.0,6117.32461508399,Female,48.0,15.0,24.0,4.0,Carrier B,9.89814050806922,Supplier 1,13.0,171.0,7.0,59.4293818106915,Fail,0.815757079295672,Air,Route A,123.437027511827,-2379.04,15.526,13.133,3.7,8.041,20.0,0.312,320.0,-272.0,3.017,6.84,0.0016,321,0,Low,69.51
cosmetics,SKU29,63.4475591852073,3.0,253.0,8318.90319461717,Female,45.0,5.0,67.0,7.0,Carrier B,8.10097314539703,Supplier 1,16.0,329.0,7.0,39.2928755860657,Pass,3.87809893658848,Road,Route B,764.935375940708,38.07,32.881,8.433,5.3,5.5,23.0,3.012,237.0,-192.0,0.1101,4.838,0.001,172,1,Medium,2.06
haircare,SKU30,8.02285921052639,10.0,327.0,2766.34236686608,Male,60.0,26.0,35.0,7.0,Carrier B,8.95452831531801,Supplier 4,27.0,806.0,30.0,51.6348934001093,Pending,0.965394705352393,Road,Route C,880.080988247161,-543.6,8.46,10.9,5.5,5.361,57.0,2.683,750.0,-690.0,1.1805,22.389,0.0032,207,1,Low,21.06
skincare,SKU31,50.8473930517187,28.0,168.0,9655.13510271939,Male,6.0,17.0,44.0,4.0,Carrier B,2.6796609649814,Supplier 3,24.0,461.0,8.0,60.251145661598,Pending,2.98900000665507,Rail,Route C,609.379206618426,-18.49,57.471,5.6,1.1,24.0,32.0,3.606,220.0,-214.0,0.0423,10.244,0.0003,140,1,High,4.27
skincare,SKU32,79.2099360156567,43.0,781.0,9571.55048732781,Unknown,89.0,13.0,64.0,4.0,Carrier C,6.59910490123858,Supplier 3,30.0,737.0,7.0,29.6924671537497,Pass,1.94603611938611,Road,Route A,761.173909514877,62.51,12.256,26.033,3.4,8.678,37.0,0.973,1160.0,-1071.0,0.0427,11.338,0.0007,669,0,Medium,2.19
cosmetics,SKU33,64.7954350001556,63.0,616.0,5149.99835040803,Non-binary,4.0,17.0,95.0,9.0,Carrier C,4.85827050343664,Supplier 5,1.0,251.0,23.0,23.8534275128961,Fail,3.54104601225092,Sea,Route A,371.255295519871,63.19,8.36,20.533,0.2,123.2,24.0,0.602,596.0,-592.0,0.0024,2.615,0.0009,552,1,High,1.57
skincare,SKU34,37.4675923298424,96.0,602.0,9061.71089550772,Unknown,1.0,26.0,21.0,7.0,Carrier A,1.01948757082211,Supplier 1,4.0,452.0,10.0,10.7542728150293,Pass,0.646604559372054,Road,Route B,510.358000433523,71.3,15.053,20.067,0.0,301.0,14.0,0.846,342.0,-341.0,0.0005,20.545,0.0001,683,1,High,0.73
cosmetics,SKU35,84.9577868163504,11.0,449.0,6541.32934480246,Female,42.0,27.0,85.0,8.0,Carrier C,5.2881899903274,Supplier 1,3.0,367.0,2.0,58.0047870447437,Pass,0.541154098060581,Sea,Route C,553.420471230355,31.73,14.569,14.967,2.8,10.442,5.0,1.23,94.0,-52.0,0.0639,4.267,0.0008,422,1,Medium,1.31
skincare,SKU36,9.81300257875405,34.0,963.0,7573.40245784873,Female,18.0,23.0,28.0,3.0,Carrier B,2.10795126715908,Supplier 2,26.0,671.0,19.0,45.5313642371621,Fail,3.80553337924335,Air,Route C,403.80897424818,-363.99,7.864,32.1,0.6,50.684,45.0,0.419,1738.0,-1720.0,0.0867,23.138,0.0003,541,1,High,14.69
skincare,SKU37,23.3998447526143,5.0,963.0,2438.33993047002,Female,25.0,8.0,21.0,9.0,Carrier A,1.53265527359043,Supplier 3,24.0,867.0,15.0,34.3432774650753,Pending,2.61028808484811,Sea,Route A,183.932968043594,-46.77,2.532,32.1,0.8,37.038,39.0,0.191,1507.0,-1482.0,0.0381,39.409,0.0006,758,1,High,5.49
cosmetics,SKU38,52.0759306827078,75.0,705.0,9692.31804021843,Non-binary,69.0,1.0,88.0,5.0,Carrier B,9.23593143724922,Supplier 5,10.0,841.0,12.0,5.93069364552831,Pending,0.613326899164507,Air,Route B,339.672869948606,88.61,13.748,23.5,2.9,10.071,22.0,0.481,625.0,-556.0,0.0111,9.449,0.001,706,0,Medium,0.49
skincare,SKU39,19.1274772658232,26.0,176.0,1912.46566310076,Female,78.0,29.0,34.0,3.0,Carrier A,5.56250377883038,Supplier 2,30.0,791.0,6.0,9.00580742878164,Fail,1.45197220399681,Air,Route B,653.672994552033,52.92,10.866,5.867,13.3,2.228,36.0,3.693,258.0,-180.0,0.2086,22.6,0.0029,170,0,Low,2.83
skincare,SKU40,80.5414241709403,97.0,933.0,5724.95935045626,Female,90.0,20.0,39.0,8.0,Carrier C,7.22959513973647,Supplier 1,18.0,793.0,1.0,88.1794071042174,Pending,4.21326943058656,Road,Route A,529.808723980691,-9.48,6.136,31.1,2.9,10.253,19.0,0.567,714.0,-624.0,0.1056,19.825,0.0013,1043,1,Medium,3.27
skincare,SKU41,99.1132916153171,35.0,556.0,5521.20525901097,Female,64.0,19.0,38.0,8.0,Carrier B,5.77326374376665,Supplier 4,18.0,892.0,7.0,95.3320645487725,Fail,0.0453022623982596,Sea,Route A,275.524371131309,3.82,9.93,18.533,3.5,8.554,25.0,0.495,560.0,-496.0,0.1107,22.872,0.001,576,1,Low,3.07
skincare,SKU42,46.5291676145167,98.0,155.0,1839.60942585676,Female,22.0,27.0,57.0,4.0,Carrier C,7.5262483268515,Supplier 5,26.0,179.0,7.0,96.4228206395718,Fail,4.93925528862094,Road,Route A,635.657120501991,-107.23,11.868,5.167,4.2,6.739,33.0,4.075,209.0,-187.0,0.2941,3.086,0.0041,159,1,Medium,7.61
haircare,SKU43,11.7432717763092,6.0,598.0,5737.42559911902,Unknown,36.0,29.0,85.0,9.0,Carrier B,3.69402126838845,Supplier 5,1.0,206.0,23.0,26.2773659573324,Pending,0.372304767985097,Air,Route A,716.04411975934,-123.77,9.594,19.933,1.8,16.162,24.0,1.195,579.0,-543.0,0.1347,2.395,0.0006,582,1,Medium,6.93
cosmetics,SKU44,51.3557909131103,34.0,919.0,7152.28604943551,Female,13.0,19.0,72.0,6.0,Carrier C,7.57744965737669,Supplier 2,7.0,834.0,18.0,22.5541066208877,Fail,2.96262632045488,Rail,Route A,610.453269619227,56.08,7.783,30.633,0.4,65.643,25.0,0.664,923.0,-910.0,0.0062,11.425,0.0011,669,1,High,1.86
haircare,SKU45,33.7841380330655,1.0,24.0,5267.95680751052,Male,93.0,7.0,52.0,6.0,Carrier B,5.21515500871191,Supplier 2,25.0,794.0,25.0,66.3125444399916,Pass,3.2196046120841,Rail,Route A,495.305697028473,-96.28,219.498,0.8,114.8,0.255,50.0,19.812,53.0,40.0,7.5966,14.981,0.001,14,1,Low,4.78
haircare,SKU46,27.0822071998889,75.0,859.0,2556.76736063359,Non-binary,92.0,29.0,6.0,8.0,Carrier B,4.07095583708408,Supplier 3,18.0,870.0,23.0,77.3223532110516,Pending,3.6486105925362,Road,Route B,380.435937111964,-185.51,2.976,28.633,3.2,9.237,41.0,0.442,1413.0,-1321.0,0.3058,124.286,0.0016,728,1,Medium,9.64
skincare,SKU47,95.712135880936,93.0,910.0,7089.47424993418,Male,4.0,15.0,51.0,9.0,Carrier B,8.97875075594997,Supplier 1,10.0,964.0,20.0,19.7129929112936,Pending,0.380573586713213,Rail,Route A,581.602355050586,79.4,7.791,30.333,0.1,182.0,30.0,0.638,1096.0,-1092.0,0.0009,18.538,0.0013,1205,1,High,1.48
haircare,SKU48,76.0355444268917,28.0,29.0,7397.07100458718,Non-binary,30.0,16.0,9.0,3.0,Carrier C,7.09583315655513,Supplier 2,9.0,109.0,18.0,23.1263635824647,Fail,1.6981125407144,Rail,Route B,768.65191395437,69.58,255.071,0.967,30.7,0.935,27.0,25.622,36.0,-6.0,0.3145,10.9,0.001,20,0,Low,0.42
cosmetics,SKU49,78.89791320564,19.0,99.0,8001.613206519,Unknown,97.0,24.0,9.0,6.0,Carrier C,2.50562103290091,Supplier 5,28.0,177.0,28.0,14.1478154439792,Pass,2.82581398540013,Rail,Route A,336.890168519977,82.07,80.824,3.3,29.3,1.01,56.0,3.369,226.0,-129.0,0.1757,17.7,0.0003,81,0,Low,1.4
cosmetics,SKU50,14.203484264803,91.0,633.0,5910.88538966889,Female,31.0,23.0,82.0,10.0,Carrier A,6.24786091497599,Supplier 2,20.0,306.0,21.0,45.1787579246345,Fail,4.75480080467118,Rail,Route B,496.24865029194,-218.08,9.338,21.1,1.5,19.781,41.0,0.783,1043.0,-1012.0,0.1558,3.687,0.0011,561,1,High,10.42
haircare,SKU51,26.7007609724617,61.0,154.0,9866.46545797969,Male,100.0,4.0,52.0,1.0,Carrier A,4.78300055794766,Supplier 5,18.0,673.0,28.0,14.1903283445699,Pending,1.77295117208355,Road,Route A,694.982317579445,46.85,64.068,5.133,19.4,1.525,46.0,4.484,288.0,-188.0,0.345,12.698,0.0005,129,0,Low,2.38
skincare,SKU52,98.031829656465,1.0,820.0,9435.76260891213,Male,64.0,11.0,11.0,1.0,Carrier B,8.63105217976894,Supplier 1,10.0,727.0,27.0,9.16684914859715,Pending,2.12247161914382,Air,Route C,602.898498838383,90.65,11.507,27.333,2.3,12.615,37.0,0.734,1218.0,-1154.0,0.0073,60.583,0.0009,482,0,Medium,1.4
skincare,SKU53,30.3414707112142,93.0,242.0,8232.33482942582,Male,96.0,25.0,54.0,3.0,Carrier B,1.01348656609589,Supplier 1,1.0,631.0,17.0,83.3440589916779,Pending,1.41034757607602,Air,Route B,750.73784066827,-174.69,34.018,8.067,11.9,2.495,18.0,3.089,179.0,-83.0,1.0895,11.473,0.0001,247,0,Low,7.46
haircare,SKU54,31.1462431602408,11.0,622.0,6088.02147994085,Non-binary,33.0,22.0,61.0,3.0,Carrier B,4.30510347128763,Supplier 1,26.0,497.0,29.0,30.1860233758225,Pass,2.47877197553974,Road,Route B,814.069996582187,3.08,9.788,20.733,1.6,18.294,55.0,1.307,1373.0,-1340.0,0.0514,8.016,0.0007,360,0,High,5.14
haircare,SKU55,79.8550583407894,16.0,701.0,2925.67517030381,Male,97.0,11.0,11.0,5.0,Carrier A,5.0143649550309,Supplier 2,27.0,918.0,5.0,30.3235452566165,Fail,4.54891965939638,Sea,Route B,323.012927952478,62.03,4.174,23.367,4.1,7.153,32.0,0.46,902.0,-805.0,0.0525,76.5,0.0017,477,1,Medium,1.99
skincare,SKU56,20.9863860370433,90.0,93.0,4767.02048434413,Non-binary,25.0,23.0,83.0,5.0,Carrier C,1.77442971407173,Supplier 1,24.0,826.0,28.0,12.8362845728327,Pass,1.17375549538745,Air,Route B,832.210808706021,38.84,51.258,3.1,8.0,3.577,52.0,8.853,198.0,-173.0,0.1643,9.833,0.0004,116,0,Low,3.83
haircare,SKU57,49.2632053507341,65.0,227.0,1605.8669003924,Unknown,5.0,18.0,51.0,1.0,Carrier B,9.16055853538187,Supplier 2,21.0,588.0,25.0,67.7796229870781,Pending,2.5111748302127,Rail,Route A,482.191238602528,-37.59,7.074,7.567,0.7,37.833,46.0,2.115,422.0,-417.0,0.0303,11.308,0.0057,238,1,High,6.39
skincare,SKU58,59.8415613772893,81.0,896.0,2021.1498103371,Non-binary,10.0,5.0,44.0,7.0,Carrier A,4.93843856471209,Supplier 3,18.0,396.0,7.0,65.0474150946914,Fail,1.73037471985919,Road,Route B,110.364335231364,-8.7,2.256,29.867,0.3,81.455,25.0,0.123,901.0,-891.0,0.0121,8.8,0.0024,874,1,High,3.59
cosmetics,SKU59,63.8283983477109,30.0,484.0,1061.61852301328,Non-binary,100.0,16.0,26.0,7.0,Carrier B,7.29372259686772,Supplier 1,11.0,176.0,4.0,1.90076224351945,Fail,0.447194015463823,Air,Route A,312.574273610093,97.02,2.193,16.133,6.2,4.792,15.0,0.644,295.0,-195.0,0.0062,6.519,0.0069,442,1,Low,0.57
skincare,SKU60,17.0280279201887,16.0,380.0,8864.08434958643,Female,41.0,27.0,72.0,8.0,Carrier C,4.38136815810231,Supplier 4,29.0,929.0,24.0,87.2130578151356,Fail,2.85309061664905,Rail,Route A,430.169096975136,-412.17,23.327,12.667,3.2,9.048,53.0,1.129,810.0,-769.0,0.5525,12.726,0.0005,271,1,Medium,16.36
haircare,SKU61,52.0287499032949,23.0,117.0,6885.58935089625,Unknown,32.0,23.0,36.0,7.0,Carrier C,9.03034042252194,Supplier 4,14.0,480.0,12.0,78.7023939688789,Fail,4.36747053820505,Air,Route A,164.366528243419,-51.27,58.851,3.9,8.2,3.545,26.0,1.393,126.0,-94.0,0.4137,12.973,0.0013,86,1,Medium,4.41
cosmetics,SKU62,72.7963539555873,89.0,270.0,3899.74683372922,Unknown,86.0,2.0,40.0,7.0,Carrier C,7.29170138877677,Supplier 2,13.0,751.0,14.0,21.0486427251686,Pass,1.87400140404437,Sea,Route C,320.846515759111,71.09,14.444,9.0,9.5,3.103,27.0,1.184,296.0,-210.0,0.0921,18.317,0.0019,308,0,Low,1.12
skincare,SKU63,13.0173767852878,55.0,246.0,4256.94914085022,Non-binary,54.0,19.0,10.0,4.0,Carrier A,2.45793352798733,Supplier 3,18.0,736.0,10.0,20.0750039756304,Pending,3.63284329038213,Sea,Route A,687.286177866417,-54.22,17.305,8.2,6.6,4.473,28.0,2.783,280.0,-226.0,0.3384,66.909,0.0006,209,0,Medium,5.1
skincare,SKU64,89.6340956081353,11.0,134.0,8458.73087836717,Female,73.0,27.0,75.0,6.0,Carrier C,4.58535346819465,Supplier 1,17.0,328.0,6.0,8.69304242587728,Fail,0.159486314717514,Air,Route C,771.225084681157,90.3,63.125,4.467,16.3,1.811,23.0,5.713,128.0,-55.0,0.0528,4.316,0.0005,83,1,Low,0.09
skincare,SKU65,33.6977172066431,72.0,457.0,8354.57968648199,Male,57.0,24.0,54.0,8.0,Carrier C,6.58054134788459,Supplier 5,16.0,358.0,21.0,1.59722274305067,Fail,4.91109595484233,Rail,Route C,555.859103671743,95.26,18.281,15.233,3.7,7.879,37.0,1.214,681.0,-624.0,0.0059,6.509,0.0008,375,1,Medium,1.22
skincare,SKU66,26.034869773962,52.0,704.0,8367.72161802015,Female,13.0,17.0,19.0,8.0,Carrier A,2.21614272877136,Supplier 5,24.0,867.0,28.0,42.0844367383099,Fail,3.44806328834026,Road,Route A,393.843348578427,-61.65,11.886,23.467,0.6,50.286,52.0,0.559,1469.0,-1456.0,0.0298,43.35,0.0003,596,1,High,6.56
skincare,SKU67,87.755432354001,16.0,513.0,9473.79803250833,Unknown,12.0,9.0,71.0,9.0,Carrier C,9.14781154471063,Supplier 1,10.0,198.0,11.0,7.05787614697823,Pass,0.131955444311814,Sea,Route C,169.271801384786,91.96,18.467,17.1,0.7,39.462,21.0,0.329,435.0,-423.0,0.0019,2.75,0.001,388,1,High,0.39
haircare,SKU68,37.9318123827903,29.0,163.0,3550.21843278099,Non-binary,0.0,8.0,58.0,8.0,Carrier B,1.19425186488499,Supplier 2,2.0,375.0,18.0,97.1135815634622,Fail,1.98346787217418,Rail,Route A,299.706303118103,-156.02,21.78,5.433,0.0,163.0,20.0,1.827,135.0,-135.0,0.0,6.356,0.0003,127,1,High,7.59
skincare,SKU69,54.8655285170697,62.0,511.0,1752.38108748412,Non-binary,95.0,1.0,27.0,3.0,Carrier B,9.70528679012034,Supplier 4,9.0,862.0,7.0,77.6277658127481,Pending,1.3623879886491,Air,Route A,207.663206208575,-41.49,3.429,17.033,5.6,5.323,16.0,0.406,332.0,-237.0,0.263,30.786,0.0055,426,0,Low,3.98
haircare,SKU70,47.9145418240587,90.0,32.0,7014.88798720338,Female,10.0,12.0,22.0,4.0,Carrier B,6.31571775460072,Supplier 1,22.0,775.0,16.0,11.4407818237612,Pass,1.83057559861223,Road,Route C,183.272898748711,76.12,219.215,1.067,9.3,2.909,38.0,5.554,53.0,-43.0,0.0746,33.696,0.0009,34,0,Low,1.54
cosmetics,SKU71,6.38153316274796,14.0,637.0,8180.33708542544,Female,76.0,2.0,26.0,6.0,Carrier A,9.22819031705251,Supplier 2,2.0,258.0,10.0,30.6616774778595,Pending,2.07875060787496,Road,Route A,405.167067888855,-380.48,12.842,21.233,3.6,8.273,12.0,0.635,310.0,-234.0,0.5731,9.556,0.0011,496,0,Medium,13.14
